id,slug,title,alt_text,source_url,mime_type,file,filesize,width,height
8560,banner-1-jpg,banner-1.jpg,banner 1,https://www.loungenie.com/wp-content/uploads/2026/03/banner-1.jpg,image/jpeg,2026/03/banner-1.jpg,382888,1920,1080
8541,hero9-bg-1-jpg,hero9-bg-1.jpg,hero9 bg 1,https://www.loungenie.com/wp-content/uploads/2026/03/hero9-bg-1.jpg,image/jpeg,2026/03/hero9-bg-1.jpg,56859,1000,833
8382,hilton-waikoloa-village-2018-10-kona-pool-cabanas-4-2,Hotel pool cabana outfitted with LounGenie smart amenity unit,Hotel pool cabana outfitted with LounGenie smart amenity unit,https://www.loungenie.com/wp-content/uploads/2026/03/Hilton-waikoloa-Village-2018-10-Kona-Pool-Cabanas-4-scaled.jpg,image/jpeg,2026/03/Hilton-waikoloa-Village-2018-10-Kona-Pool-Cabanas-4-scaled.jpg,902906,2560,1708
8381,hilton-waikoloa-village-2018-10-kona-pool-cabanas-6-3,Close-up of LounGenie waterproof safe and USB charging in resort cabana,Close-up of LounGenie waterproof safe and USB charging in resort cabana,https://www.loungenie.com/wp-content/uploads/2026/03/Hilton-waikoloa-Village-2018-10-Kona-Pool-Cabanas-6.jpg,image/jpeg,2026/03/Hilton-waikoloa-Village-2018-10-Kona-Pool-Cabanas-6.jpg,984339,2063,1375
8380,hilton-waikoloa-village-2018-10-aloha-falls-cabana-2-2,LounGenie ice bucket and waterproof safe inside resort cabana,LounGenie ice bucket and waterproof safe inside resort cabana,https://www.loungenie.com/wp-content/uploads/2026/03/Hilton-Waikoloa-Village-2018-10-Aloha-Falls-Cabana-2-scaled.jpg,image/jpeg,2026/03/Hilton-Waikoloa-Village-2018-10-Aloha-Falls-Cabana-2-scaled.jpg,1123441,2560,1708
8379,hilton-waikoloa-village-2018-10-aloha-falls-cabana-3-2,Resort daybed area with LounGenie amenity unit installed,Resort daybed area with LounGenie amenity unit installed,https://www.loungenie.com/wp-content/uploads/2026/03/Hilton-Waikoloa-Village-2018-10-Aloha-Falls-Cabana-3-scaled.jpg,image/jpeg,2026/03/Hilton-Waikoloa-Village-2018-10-Aloha-Falls-Cabana-3-scaled.jpg,869766,2560,1707
8378,hilton-wakoloa-village-2018-10-aloha-falls-cabana-1-2,Hilton Wakoloa Village 2018-10-Aloha-Falls-Cabana 1,Hilton Wakoloa Village 2018 10 Aloha Falls Cabana 1,https://www.loungenie.com/wp-content/uploads/2026/03/Hilton-Wakoloa-Village-2018-10-Aloha-Falls-Cabana-1-scaled.jpg,image/jpeg,2026/03/Hilton-Wakoloa-Village-2018-10-Aloha-Falls-Cabana-1-scaled.jpg,836966,2560,1708
8377,hilton-waikoloa-village-2018-10-aloha-falls-cabana,LounGenie unit installed in beachfront resort cabana,LounGenie unit installed in beachfront resort cabana,https://www.loungenie.com/wp-content/uploads/2026/03/Hilton-Waikoloa-Village-2018-10-Aloha-Falls-Cabana-scaled.jpg,image/jpeg,2026/03/Hilton-Waikoloa-Village-2018-10-Aloha-Falls-Cabana-scaled.jpg,707551,1707,2560
8376,38f4fc95-7925-4625-b0e8-5ba78771c037-2,LounGenie waterproof safe with keypad inside resort cabana,LounGenie waterproof safe with keypad inside resort cabana,https://www.loungenie.com/wp-content/uploads/2026/03/38f4fc95-7925-4625-b0e8-5ba78771c037.jpg,image/jpeg,2026/03/38f4fc95-7925-4625-b0e8-5ba78771c037.jpg,78261,608,691
8375,a5ea38b9-4578-4356-a118-f168caa0ec90-2,LounGenie waterproof safe open inside poolside cabana,LounGenie waterproof safe open inside poolside cabana,https://www.loungenie.com/wp-content/uploads/2026/03/a5ea38b9-4578-4356-a118-f168caa0ec90.jpg,image/jpeg,2026/03/a5ea38b9-4578-4356-a118-f168caa0ec90.jpg,86132,608,810
8374,img_3233-scaled-2,Cowabunga Bay cabana interior featuring LounGenie smart unit,Cowabunga Bay cabana interior featuring LounGenie smart unit,https://www.loungenie.com/wp-content/uploads/2026/03/IMG_3233-scaled-1.jpg,image/jpeg,2026/03/IMG_3233-scaled-1.jpg,791813,1920,2560
8373,img_3235-scaled-2,LounGenie amenity unit providing guest amenities at Cowabunga Bay,LounGenie amenity unit providing guest amenities at Cowabunga Bay,https://www.loungenie.com/wp-content/uploads/2026/03/IMG_3235-scaled-1.jpg,image/jpeg,2026/03/IMG_3235-scaled-1.jpg,644277,1920,2560
8372,img_3239-scaled-2,Water park cabana with LounGenie ice bucket and safe,Water park cabana with LounGenie ice bucket and safe,https://www.loungenie.com/wp-content/uploads/2026/03/IMG_3239-scaled-1.jpg,image/jpeg,2026/03/IMG_3239-scaled-1.jpg,631098,1920,2560
8371,img_3241-scaled-3,IMG_3241-scaled,LounGenie poolside hospitality photo,https://www.loungenie.com/wp-content/uploads/2026/03/IMG_3241-scaled-1.jpg,image/jpeg,2026/03/IMG_3241-scaled-1.jpg,784247,1920,2560
8370,298872056_10158994266838325_2480796936934944436_n-2,298872056_10158994266838325_2480796936934944436_n,298872056 10158994266838325 2480796936934944436 n,https://www.loungenie.com/wp-content/uploads/2026/03/298872056_10158994266838325_2480796936934944436_n.jpg,image/jpeg,2026/03/298872056_10158994266838325_2480796936934944436_n.jpg,472979,1440,1800
8369,211708765_1435082566848706_4544959861557533268_n-2,Water park cabana with LounGenie waterproof safe installed,Water park cabana with LounGenie waterproof safe installed,https://www.loungenie.com/wp-content/uploads/2026/03/211708765_1435082566848706_4544959861557533268_n.jpg,image/jpeg,2026/03/211708765_1435082566848706_4544959861557533268_n.jpg,74793,960,720
8368,38248750_10155507900317751_710145023890423808_n-2,Cowabunga Bay poolside cabana equipped with LounGenie amenity unit,Cowabunga Bay poolside cabana equipped with LounGenie amenity unit,https://www.loungenie.com/wp-content/uploads/2026/03/38248750_10155507900317751_710145023890423808_n.jpg,image/jpeg,2026/03/38248750_10155507900317751_710145023890423808_n.jpg,79696,960,720
8367,200990133_10226280561100384_1892995075070127113_n-2,200990133_10226280561100384_1892995075070127113_n,200990133 10226280561100384 1892995075070127113 n,https://www.loungenie.com/wp-content/uploads/2026/03/200990133_10226280561100384_1892995075070127113_n.jpg,image/jpeg,2026/03/200990133_10226280561100384_1892995075070127113_n.jpg,88894,720,960
8366,dsc0-1024x682-2,DSC0-1024&#215;682,LounGenie poolside hospitality photo,https://www.loungenie.com/wp-content/uploads/2026/03/DSC0-1024x682-1.jpg,image/jpeg,2026/03/DSC0-1024x682-1.jpg,159416,1024,682
8365,dsc05-1024x682-2,DSC05-1024&#215;682,LounGenie poolside hospitality photo,https://www.loungenie.com/wp-content/uploads/2026/03/DSC05-1024x682-1.jpg,image/jpeg,2026/03/DSC05-1024x682-1.jpg,154008,1024,682
8364,page_1145__mg_6277-copy-1-web,page_1145__mg_6277-copy-1-web,page 1145 mg 6277 copy 1 web,https://www.loungenie.com/wp-content/uploads/2026/03/page_1145__mg_6277-copy-1-web.webp,image/webp,2026/03/page_1145__mg_6277-copy-1-web.webp,118136,1060,600
8363,page_1145_img_6227-copy-1-web,page_1145_img_6227-copy-1-web,page 1145 img 6227 copy 1 web,https://www.loungenie.com/wp-content/uploads/2026/03/page_1145_img_6227-copy-1-web.webp,image/webp,2026/03/page_1145_img_6227-copy-1-web.webp,68370,1060,600
8362,mc-mcowc-16683_classic-hor-2,Cabana with LounGenie smart amenity unit installed poolside,Cabana with LounGenie smart amenity unit installed poolside,https://www.loungenie.com/wp-content/uploads/2026/03/mc-mcowc-16683_Classic-Hor.jpg,image/jpeg,2026/03/mc-mcowc-16683_Classic-Hor.jpg,258243,1336,891
8361,screenshot-2025-03-27-204458-3,Screenshot 2025-03-27 204458,LounGenie poolside hospitality photo,https://www.loungenie.com/wp-content/uploads/2026/03/Screenshot-2025-03-27-204458.png,image/png,2026/03/Screenshot-2025-03-27-204458.png,658808,608,768
8360,175-westin__hhi_bjp_-_low_res-1-2,175-Westin__hhi_bjp_-_low_res (1),175 Westin hhi bjp low res (1),https://www.loungenie.com/wp-content/uploads/2026/03/175-Westin__hhi_bjp_-_low_res-1.avif,image/avif,,145004,0,0
8352,175-westin__hhi_bjp_-_low_res,175-Westin__hhi_bjp_-_low_res,175 Westin hhi bjp low res,https://www.loungenie.com/wp-content/uploads/2026/03/175-Westin__hhi_bjp_-_low_res.avif,image/avif,,145004,0,0
8351,hiltonwaikoloa_cabana6,LounGenie amenity unit inside shaded resort poolside cabana,LounGenie amenity unit inside shaded resort poolside cabana,https://www.loungenie.com/wp-content/uploads/2026/03/hiltonwaikoloa_cabana6.jpg,image/jpeg,2026/03/hiltonwaikoloa_cabana6.jpg,263118,1111,740
8340,the-grove-7-2,LounGenie safe and charging ports close-up in cabana and LounGenie cabana unit showing waterproof safe and USB ports,LounGenie safe and charging ports close-up in cabana and LounGenie cabana unit showing waterproof safe and USB ports,https://www.loungenie.com/wp-content/uploads/2026/03/The-Grove-7-scaled.jpg,image/jpeg,2026/03/The-Grove-7-scaled.jpg,960342,1920,2560
8339,the-grove-5-2,Pool deck cabana at The Grove Resort featuring LounGenie smart system,Pool deck cabana at The Grove Resort featuring LounGenie smart system,https://www.loungenie.com/wp-content/uploads/2026/03/The-Grove-5.jpg,image/jpeg,2026/03/The-Grove-5.jpg,313994,1440,1800
8338,the-grove-1-2,LounGenie smart system inside resort pool cabana — side view,LounGenie smart system inside resort pool cabana — side view,https://www.loungenie.com/wp-content/uploads/2026/03/The-Grove-1.jpg,image/jpeg,2026/03/The-Grove-1.jpg,433880,1440,1257
8337,the-grove-2-2,The Grove 2,The Grove 2,https://www.loungenie.com/wp-content/uploads/2026/03/The-Grove-2.jpg,image/jpeg,2026/03/The-Grove-2.jpg,395562,1440,1800
8336,the-grove-2-copy,The Grove Resort poolside cabana equipped with LounGenie amenity unit,The Grove Resort poolside cabana equipped with LounGenie amenity unit,https://www.loungenie.com/wp-content/uploads/2026/03/The-Grove-2-Copy.jpg,image/jpeg,2026/03/The-Grove-2-Copy.jpg,395562,1440,1800
8335,the-grove-6-2,The Grove 6,The Grove 6,https://www.loungenie.com/wp-content/uploads/2026/03/The-Grove-6.jpg,image/jpeg,2026/03/The-Grove-6.jpg,722492,1440,1791
8334,the-grove-6-copy,LounGenie smart cabana unit installed at The Grove Resort and Waterpark,LounGenie smart cabana unit installed at The Grove Resort and Waterpark,https://www.loungenie.com/wp-content/uploads/2026/03/The-Grove-6-Copy.jpg,image/jpeg,2026/03/The-Grove-6-Copy.jpg,722492,1440,1791
8332,sea-world-san-diego-2,Full-service hotel cabana interior with LounGenie smart unit,Full-service hotel cabana interior with LounGenie smart unit,https://www.loungenie.com/wp-content/uploads/2026/03/Sea-World-San-Diego.jpg,image/jpeg,2026/03/Sea-World-San-Diego.jpg,784902,2382,1906
8168,placeholder,placeholder,placeholder,https://www.loungenie.com/wp-content/uploads/2026/03/placeholder.webp,image/webp,2026/03/placeholder.webp,3052,1200,800
7476,e106d1a0-f868-46cd-92f8-457dc6a8f698,Smart cabana system QR ordering on resort pool deck,Smart cabana system QR ordering on resort pool deck,https://www.loungenie.com/wp-content/uploads/2026/03/e106d1a0-f868-46cd-92f8-457dc6a8f698.webp,image/webp,2026/03/e106d1a0-f868-46cd-92f8-457dc6a8f698.webp,111576,1024,1536
7263,screenshot-2026-03-11-210839,LounGenie video at Cowabunga Bay,LounGenie video at Cowabunga Bay,https://www.loungenie.com/wp-content/uploads/2026/03/Screenshot-2026-03-11-210839.webp,image/webp,2026/03/Screenshot-2026-03-11-210839.webp,20592,1168,650
7259,screenshot-2026-03-11-210726,LounGenie video product animation overview,LounGenie video product animation overview,https://www.loungenie.com/wp-content/uploads/2026/03/Screenshot-2026-03-11-210726.webp,image/webp,2026/03/Screenshot-2026-03-11-210726.webp,3758,941,582
7254,screenshot-2026-03-11-210240,LounGenie video cabanas and premium seating,LounGenie video cabanas and premium seating,https://www.loungenie.com/wp-content/uploads/2026/03/Screenshot-2026-03-11-210240.webp,image/webp,2026/03/Screenshot-2026-03-11-210240.webp,52096,971,547
7253,screenshot-2026-03-11-210313,LounGenie video CEO David Burgerer Avendra presentation,LounGenie video CEO David Burgerer Avendra presentation,https://www.loungenie.com/wp-content/uploads/2026/03/Screenshot-2026-03-11-210313.webp,image/webp,2026/03/Screenshot-2026-03-11-210313.webp,17476,972,544
7249,screenshot-2026-03-11-210110,LounGenie poolside hospitality photo,LounGenie video overview smart cabana system,https://www.loungenie.com/wp-content/uploads/2026/03/Screenshot-2026-03-11-210110.webp,image/webp,2026/03/Screenshot-2026-03-11-210110.webp,102882,1167,658
