"id","title","slug","alt_text","media_type","mime_type","source_url","file","filesize","width","height","date","author"
"8560","banner-1.jpg","banner-1-jpg","banner 1","image","image/jpeg","https://www.loungenie.com/wp-content/uploads/2026/03/banner-1.jpg","2026/03/banner-1.jpg","382888","1920","1080","2026-03-13 6:36:36 PM","1"
"8541","hero9-bg-1.jpg","hero9-bg-1-jpg","hero9 bg 1","image","image/jpeg","https://www.loungenie.com/wp-content/uploads/2026/03/hero9-bg-1.jpg","2026/03/hero9-bg-1.jpg","56859","1000","833","2026-03-13 6:00:05 PM","1"
"8382","Hotel pool cabana outfitted with LounGenie smart amenity unit","hilton-waikoloa-village-2018-10-kona-pool-cabanas-4-2","Hotel pool cabana outfitted with LounGenie smart amenity unit","image","image/jpeg","https://www.loungenie.com/wp-content/uploads/2026/03/Hilton-waikoloa-Village-2018-10-Kona-Pool-Cabanas-4-scaled.jpg","2026/03/Hilton-waikoloa-Village-2018-10-Kona-Pool-Cabanas-4-scaled.jpg","902906","2560","1708","2026-03-13 4:01:11 PM","1"
"8381","Close-up of LounGenie waterproof safe and USB charging in resort cabana","hilton-waikoloa-village-2018-10-kona-pool-cabanas-6-3","Close-up of LounGenie waterproof safe and USB charging in resort cabana","image","image/jpeg","https://www.loungenie.com/wp-content/uploads/2026/03/Hilton-waikoloa-Village-2018-10-Kona-Pool-Cabanas-6.jpg","2026/03/Hilton-waikoloa-Village-2018-10-Kona-Pool-Cabanas-6.jpg","984339","2063","1375","2026-03-13 4:01:07 PM","1"
"8380","LounGenie ice bucket and waterproof safe inside resort cabana","hilton-waikoloa-village-2018-10-aloha-falls-cabana-2-2","LounGenie ice bucket and waterproof safe inside resort cabana","image","image/jpeg","https://www.loungenie.com/wp-content/uploads/2026/03/Hilton-Waikoloa-Village-2018-10-Aloha-Falls-Cabana-2-scaled.jpg","2026/03/Hilton-Waikoloa-Village-2018-10-Aloha-Falls-Cabana-2-scaled.jpg","1123441","2560","1708","2026-03-13 4:01:02 PM","1"
"8379","Resort daybed area with LounGenie amenity unit installed","hilton-waikoloa-village-2018-10-aloha-falls-cabana-3-2","Resort daybed area with LounGenie amenity unit installed","image","image/jpeg","https://www.loungenie.com/wp-content/uploads/2026/03/Hilton-Waikoloa-Village-2018-10-Aloha-Falls-Cabana-3-scaled.jpg","2026/03/Hilton-Waikoloa-Village-2018-10-Aloha-Falls-Cabana-3-scaled.jpg","869766","2560","1707","2026-03-13 4:00:55 PM","1"
"8378","Hilton Wakoloa Village 2018-10-Aloha-Falls-Cabana 1","hilton-wakoloa-village-2018-10-aloha-falls-cabana-1-2","Hilton Wakoloa Village 2018 10 Aloha Falls Cabana 1","image","image/jpeg","https://www.loungenie.com/wp-content/uploads/2026/03/Hilton-Wakoloa-Village-2018-10-Aloha-Falls-Cabana-1-scaled.jpg","2026/03/Hilton-Wakoloa-Village-2018-10-Aloha-Falls-Cabana-1-scaled.jpg","836966","2560","1708","2026-03-13 4:00:49 PM","1"
"8377","LounGenie unit installed in beachfront resort cabana","hilton-waikoloa-village-2018-10-aloha-falls-cabana","LounGenie unit installed in beachfront resort cabana","image","image/jpeg","https://www.loungenie.com/wp-content/uploads/2026/03/Hilton-Waikoloa-Village-2018-10-Aloha-Falls-Cabana-scaled.jpg","2026/03/Hilton-Waikoloa-Village-2018-10-Aloha-Falls-Cabana-scaled.jpg","707551","1707","2560","2026-03-13 4:00:44 PM","1"
"8376","LounGenie waterproof safe with keypad inside resort cabana","38f4fc95-7925-4625-b0e8-5ba78771c037-2","LounGenie waterproof safe with keypad inside resort cabana","image","image/jpeg","https://www.loungenie.com/wp-content/uploads/2026/03/38f4fc95-7925-4625-b0e8-5ba78771c037.jpg","2026/03/38f4fc95-7925-4625-b0e8-5ba78771c037.jpg","78261","608","691","2026-03-13 4:00:40 PM","1"
"8375","LounGenie waterproof safe open inside poolside cabana","a5ea38b9-4578-4356-a118-f168caa0ec90-2","LounGenie waterproof safe open inside poolside cabana","image","image/jpeg","https://www.loungenie.com/wp-content/uploads/2026/03/a5ea38b9-4578-4356-a118-f168caa0ec90.jpg","2026/03/a5ea38b9-4578-4356-a118-f168caa0ec90.jpg","86132","608","810","2026-03-13 4:00:39 PM","1"
"8374","Cowabunga Bay cabana interior featuring LounGenie smart unit","img_3233-scaled-2","Cowabunga Bay cabana interior featuring LounGenie smart unit","image","image/jpeg","https://www.loungenie.com/wp-content/uploads/2026/03/IMG_3233-scaled-1.jpg","2026/03/IMG_3233-scaled-1.jpg","791813","1920","2560","2026-03-13 4:00:37 PM","1"
"8373","LounGenie amenity unit providing guest amenities at Cowabunga Bay","img_3235-scaled-2","LounGenie amenity unit providing guest amenities at Cowabunga Bay","image","image/jpeg","https://www.loungenie.com/wp-content/uploads/2026/03/IMG_3235-scaled-1.jpg","2026/03/IMG_3235-scaled-1.jpg","644277","1920","2560","2026-03-13 4:00:35 PM","1"
"8372","Water park cabana with LounGenie ice bucket and safe","img_3239-scaled-2","Water park cabana with LounGenie ice bucket and safe","image","image/jpeg","https://www.loungenie.com/wp-content/uploads/2026/03/IMG_3239-scaled-1.jpg","2026/03/IMG_3239-scaled-1.jpg","631098","1920","2560","2026-03-13 4:00:32 PM","1"
"8371","IMG_3241-scaled","img_3241-scaled-3","LounGenie poolside hospitality photo","image","image/jpeg","https://www.loungenie.com/wp-content/uploads/2026/03/IMG_3241-scaled-1.jpg","2026/03/IMG_3241-scaled-1.jpg","784247","1920","2560","2026-03-13 4:00:29 PM","1"
"8370","298872056_10158994266838325_2480796936934944436_n","298872056_10158994266838325_2480796936934944436_n-2","298872056 10158994266838325 2480796936934944436 n","image","image/jpeg","https://www.loungenie.com/wp-content/uploads/2026/03/298872056_10158994266838325_2480796936934944436_n.jpg","2026/03/298872056_10158994266838325_2480796936934944436_n.jpg","472979","1440","1800","2026-03-13 4:00:26 PM","1"
"8369","Water park cabana with LounGenie waterproof safe installed","211708765_1435082566848706_4544959861557533268_n-2","Water park cabana with LounGenie waterproof safe installed","image","image/jpeg","https://www.loungenie.com/wp-content/uploads/2026/03/211708765_1435082566848706_4544959861557533268_n.jpg","2026/03/211708765_1435082566848706_4544959861557533268_n.jpg","74793","960","720","2026-03-13 4:00:25 PM","1"
"8368","Cowabunga Bay poolside cabana equipped with LounGenie amenity unit","38248750_10155507900317751_710145023890423808_n-2","Cowabunga Bay poolside cabana equipped with LounGenie amenity unit","image","image/jpeg","https://www.loungenie.com/wp-content/uploads/2026/03/38248750_10155507900317751_710145023890423808_n.jpg","2026/03/38248750_10155507900317751_710145023890423808_n.jpg","79696","960","720","2026-03-13 4:00:24 PM","1"
"8367","200990133_10226280561100384_1892995075070127113_n","200990133_10226280561100384_1892995075070127113_n-2","200990133 10226280561100384 1892995075070127113 n","image","image/jpeg","https://www.loungenie.com/wp-content/uploads/2026/03/200990133_10226280561100384_1892995075070127113_n.jpg","2026/03/200990133_10226280561100384_1892995075070127113_n.jpg","88894","720","960","2026-03-13 4:00:23 PM","1"
"8366","DSC0-1024&#215;682","dsc0-1024x682-2","LounGenie poolside hospitality photo","image","image/jpeg","https://www.loungenie.com/wp-content/uploads/2026/03/DSC0-1024x682-1.jpg","2026/03/DSC0-1024x682-1.jpg","159416","1024","682","2026-03-13 4:00:22 PM","1"
"8365","DSC05-1024&#215;682","dsc05-1024x682-2","LounGenie poolside hospitality photo","image","image/jpeg","https://www.loungenie.com/wp-content/uploads/2026/03/DSC05-1024x682-1.jpg","2026/03/DSC05-1024x682-1.jpg","154008","1024","682","2026-03-13 4:00:19 PM","1"
"8364","page_1145__mg_6277-copy-1-web","page_1145__mg_6277-copy-1-web","page 1145 mg 6277 copy 1 web","image","image/webp","https://www.loungenie.com/wp-content/uploads/2026/03/page_1145__mg_6277-copy-1-web.webp","2026/03/page_1145__mg_6277-copy-1-web.webp","118136","1060","600","2026-03-13 4:00:18 PM","1"
"8363","page_1145_img_6227-copy-1-web","page_1145_img_6227-copy-1-web","page 1145 img 6227 copy 1 web","image","image/webp","https://www.loungenie.com/wp-content/uploads/2026/03/page_1145_img_6227-copy-1-web.webp","2026/03/page_1145_img_6227-copy-1-web.webp","68370","1060","600","2026-03-13 4:00:16 PM","1"
"8362","Cabana with LounGenie smart amenity unit installed poolside","mc-mcowc-16683_classic-hor-2","Cabana with LounGenie smart amenity unit installed poolside","image","image/jpeg","https://www.loungenie.com/wp-content/uploads/2026/03/mc-mcowc-16683_Classic-Hor.jpg","2026/03/mc-mcowc-16683_Classic-Hor.jpg","258243","1336","891","2026-03-13 4:00:15 PM","1"
"8361","Screenshot 2025-03-27 204458","screenshot-2025-03-27-204458-3","LounGenie poolside hospitality photo","image","image/png","https://www.loungenie.com/wp-content/uploads/2026/03/Screenshot-2025-03-27-204458.png","2026/03/Screenshot-2025-03-27-204458.png","658808","608","768","2026-03-13 4:00:13 PM","1"
"8352","175-Westin__hhi_bjp_-_low_res","175-westin__hhi_bjp_-_low_res","175 Westin hhi bjp low res","image","image/avif","https://www.loungenie.com/wp-content/uploads/2026/03/175-Westin__hhi_bjp_-_low_res.avif",,"145004",,,"2026-03-13 3:57:13 PM","1"
